module_name	source_rule	n_genes_input	n_genes_detected	detected_fraction	detected_genes	missing_genes	module_status	notes
R1_MAGMA_Bonferroni_only	Stage 3R reporting_group == R1_MAGMA_Bonferroni_only	79	70	0.886075949367089	ACP4;AIF1;ALPL;AP1S3;AQP1;ASCC3;ATG16L1;ATP6V1G2;BAG6;BNIP1;CASR;CDK12;CFDP1;CHAF1B;CLDN10;CLDN14;CPNE8;DGKD;DGKH;DXO;DZIP1;GCAT;GCKR;GIPR;GLT8D1;HIBADH;HLA-DQA2;HLA-DQB2;KANSL1;KCNK5;LAYN;LMAN2;LRRC37A;MINDY4;MRPL33;MXD3;NT5DC2;PBRM1;PDILT;PKD2;PKN1;PLCL1;PRELID1;PRRC2A;PTGS2;RAB29;RAB36;RBKS;RFTN2;RNLS;SAG;SHLD2;SHROOM3;SLC12A3;SLC30A10;SLC34A1;SLC4A1AP;SNX17;SPCS1;STAB1;TBCCD1;TFAP2B;TMEM170A;UGT8;UMOD;VPS13B;WDR72;YAF2;ZFPM1;ZNF512	C19ORF48P;ITIH1;LINC02875;LOC101927855;LOC101929578;SPATA31H1;SPPL2C;STH;UQCC5	primary_ready	gene symbol overlap against selected Seurat rownames
R2_MAGMA_Bonferroni_plus_multi_snp_TWAS_proxy	Stage 3R reporting_group == R2_MAGMA_Bonferroni_plus_multi_snp_TWAS_proxy	1	1	1	MED1	""	small_module_interpret_cautiously	very small module; descriptive only and not used for strong conclusions
R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	Stage 3R reporting_group == R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	13	13	1	CRHR1;DNAJB11;F12;FBXL20;GNL3;MAPT;NEK4;PTGER1;RGS14;TBX2;TNXB;TRIOBP;ZCRB1	""	primary_ready	gene symbol overlap against selected Seurat rownames
R4_MAGMA_lower_priority	Stage 3R reporting_group == R4_MAGMA_lower_priority	33	33	1	ADD3;ANKRD6;ARL15;ARPC2;CHAC1;DDAH2;DHX16;FHL3;FNIP2;GIPC1;GNAZ;HLA-DOB;HLF;ITIH3;LUZP1;MED13;MPHOSPH9;NDUFAF1;PPHLN1;RNASEH2C;S100A16;SDHD;SF3B1;SIK2;SLC41A1;SPI1;STMN3;SYT14;TMBIM1;TMC4;TRPV6;USP40;ZNF468	""	primary_ready	gene symbol overlap against selected Seurat rownames
R5_TWAS_proxy_only	Stage 3R reporting_group == R5_TWAS_proxy_only	4	1	0.25	TIMM8B	C6ORF48;RP11-116D17.3;RP11-298J23.10	small_module_interpret_cautiously	gene symbol overlap against selected Seurat rownames
R1_R2_R3_all_MAGMA_Bonferroni	Union of Stage 3R R1, R2, and R3 reporting groups	93	84	0.903225806451613	ACP4;AIF1;ALPL;AP1S3;AQP1;ASCC3;ATG16L1;ATP6V1G2;BAG6;BNIP1;CASR;CDK12;CFDP1;CHAF1B;CLDN10;CLDN14;CPNE8;CRHR1;DGKD;DGKH;DNAJB11;DXO;DZIP1;F12;FBXL20;GCAT;GCKR;GIPR;GLT8D1;GNL3;HIBADH;HLA-DQA2;HLA-DQB2;KANSL1;KCNK5;LAYN;LMAN2;LRRC37A;MAPT;MED1;MINDY4;MRPL33;MXD3;NEK4;NT5DC2;PBRM1;PDILT;PKD2;PKN1;PLCL1;PRELID1;PRRC2A;PTGER1;PTGS2;RAB29;RAB36;RBKS;RFTN2;RGS14;RNLS;SAG;SHLD2;SHROOM3;SLC12A3;SLC30A10;SLC34A1;SLC4A1AP;SNX17;SPCS1;STAB1;TBCCD1;TBX2;TFAP2B;TMEM170A;TNXB;TRIOBP;UGT8;UMOD;VPS13B;WDR72;YAF2;ZCRB1;ZFPM1;ZNF512	C19ORF48P;ITIH1;LINC02875;LOC101927855;LOC101929578;SPATA31H1;SPPL2C;STH;UQCC5	primary_ready	gene symbol overlap against selected Seurat rownames
R2_R3_MAGMA_plus_TWAS_proxy	Union of Stage 3R R2 and R3 reporting groups	14	14	1	CRHR1;DNAJB11;F12;FBXL20;GNL3;MAPT;MED1;NEK4;PTGER1;RGS14;TBX2;TNXB;TRIOBP;ZCRB1	""	primary_ready	gene symbol overlap against selected Seurat rownames
Curated_exemplar_panel	Stage 3R curated_exemplar_panel_v0.2 gene column	6	6	1	UMOD;CASR;CLDN14;CLDN10;HIBADH;PKD2	""	primary_ready	gene symbol overlap against selected Seurat rownames
MAGMA_top50	results/gene_sets/magma_top50.txt	50	46	0.92	TBX2;LMAN2;PTGER1;DGKD;CHAF1B;HIBADH;PDILT;TFAP2B;UGT8;CASR;RNLS;DGKH;MINDY4;CLDN14;SLC30A10;SAG;RGS14;CLDN10;ZNF512;UMOD;GCKR;ALPL;SLC34A1;MRPL33;PTGS2;ZFPM1;SLC4A1AP;CDK12;FBXL20;GIPR;MED1;LRRC37A;SHROOM3;DZIP1;PKD2;TRIOBP;RBKS;KCNK5;MXD3;YAF2;KANSL1;RAB29;SPCS1;MAPT;PRELID1;CRHR1	SPATA31H1;C19ORF48P;STH;LINC02875	primary_ready	gene symbol overlap against selected Seurat rownames
MAGMA_top100	results/gene_sets/magma_top100.txt	100	91	0.91	TBX2;LMAN2;PTGER1;DGKD;CHAF1B;HIBADH;PDILT;TFAP2B;UGT8;CASR;RNLS;DGKH;MINDY4;CLDN14;SLC30A10;SAG;RGS14;CLDN10;ZNF512;UMOD;GCKR;ALPL;SLC34A1;MRPL33;PTGS2;ZFPM1;SLC4A1AP;CDK12;FBXL20;GIPR;MED1;LRRC37A;SHROOM3;DZIP1;PKD2;TRIOBP;RBKS;KCNK5;MXD3;YAF2;KANSL1;RAB29;SPCS1;MAPT;PRELID1;CRHR1;PBRM1;STAB1;GLT8D1;AQP1;ZCRB1;NEK4;ASCC3;NT5DC2;AIF1;DXO;GNL3;ATG16L1;AP1S3;CPNE8;BNIP1;HLA-DQA2;PKN1;DNAJB11;TBCCD1;PLCL1;BAG6;TMEM170A;HLA-DQB2;LAYN;VPS13B;F12;ATP6V1G2;SHLD2;PRRC2A;SNX17;WDR72;TNXB;RFTN2;RAB36;CFDP1;GCAT;SLC12A3;ACP4;POU2AF1;TNFAIP8L3;STAP2;SLC17A3;ITIH3;TLN2;PPP2R1B	SPATA31H1;C19ORF48P;STH;LINC02875;SPPL2C;ITIH1;UQCC5;LOC101927855;LOC101929578	primary_ready	gene symbol overlap against selected Seurat rownames
