gene	twas_fdr_supported	twas_model_type	old_candidate_group	new_reporting_group	downgrade_or_no_change	reason	safe_wording	unsafe_wording
MED1	TRUE	multi_snp_proxy	Tier2_moderate_MAGMA_scRNA	R2	retained_as_proxy_annotation_only	Multi-SNP Kidney_Cortex TWAS is retained only as stronger proxy annotation.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
PPHLN1	TRUE	one_snp_proxy	Tier2_moderate_MAGMA_scRNA	R3	downgraded_or_visually_downweighted	One-SNP Kidney_Cortex TWAS is high-risk proxy annotation and cannot upgrade priority.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
FNIP2	TRUE	one_snp_proxy	Tier2_moderate_MAGMA_scRNA	R3	downgraded_or_visually_downweighted	One-SNP Kidney_Cortex TWAS is high-risk proxy annotation and cannot upgrade priority.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
TBX2	TRUE	one_snp_proxy	Tier3_context	R4	no_change	One-SNP Kidney_Cortex TWAS is high-risk proxy annotation and cannot upgrade priority.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
PTGER1	TRUE	one_snp_proxy	Tier3_context	R4	no_change	One-SNP Kidney_Cortex TWAS is high-risk proxy annotation and cannot upgrade priority.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
RGS14	TRUE	one_snp_proxy	Tier3_context	R4	no_change	One-SNP Kidney_Cortex TWAS is high-risk proxy annotation and cannot upgrade priority.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
FBXL20	TRUE	one_snp_proxy	Tier3_context	R4	no_change	One-SNP Kidney_Cortex TWAS is high-risk proxy annotation and cannot upgrade priority.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
TRIOBP	TRUE	one_snp_proxy	Tier3_context	R4	no_change	One-SNP Kidney_Cortex TWAS is high-risk proxy annotation and cannot upgrade priority.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
MAPT	TRUE	one_snp_proxy	Tier3_context	R4	no_change	One-SNP Kidney_Cortex TWAS is high-risk proxy annotation and cannot upgrade priority.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
CRHR1	TRUE	one_snp_proxy	Tier3_context	R4	no_change	One-SNP Kidney_Cortex TWAS is high-risk proxy annotation and cannot upgrade priority.	Kidney_Cortex S-PrediXcan was retained as proxy annotation and not interpreted as papilla-specific regulatory evidence.	TWAS validates causal genes; TWAS confirms regulation; one-SNP TWAS upgrades candidate priority.
