table_id	file_path	title	short_description	source_script	main_text_section	figure_panel_if_applicable	claim_boundary	status
S1	results/supplementary_tables_v0.2/S1_gwas_qc_summary.tsv	GWAS QC summary	Frozen composite source table with 11 rows from 1 audited component(s).	scripts/01_gwas_qc/phase1_gwas_sanity_check.R	Methods: GWAS QC	Figure 1/2A	QC only	PASS
S2	results/supplementary_tables_v0.2/S2_lead_loci_reconstruction.tsv	Lead loci reconstruction	Frozen composite source table with 2212 rows from 3 audited component(s).	scripts/02_locus_mapping/make_phase1_leads_loci.py	Methods/Results: loci	Figure 1/2A	Distance-defined reconstruction; not fine-mapping	PASS
S3	results/supplementary_tables_v0.2/S3_magma_gene_results_and_gene_sets.tsv	MAGMA gene results and gene sets	Frozen composite source table with 17321 rows from 2 audited component(s).	scripts/03_magma_fuma/postprocess_magma_genes.R	Methods/Results: MAGMA	Figures 1-2	Gene prioritization; not causality	PASS
S4	results/supplementary_tables_v0.2/S4_gse231569_sample_and_nuclei_qc.tsv	GSE231569 sample and nuclei QC	Frozen composite source table with 35 rows from 3 audited component(s).	scripts/07_scrna_gene_mapping/phase1_gse231569_quick_projection.R	Methods: GSE231569	Figure 2B	Descriptive nuclei/donor structure	PASS
S5	results/supplementary_tables_v0.2/S5_audited_cell_type_markers.tsv	Audited cell-type markers	Frozen composite source table with 436 rows from 2 audited component(s).	scripts/07_scrna_gene_mapping/gse231569_marker_audit.R	Methods: annotation audit	Figure 2B	Audited annotation; not spatial validation	PASS
S6	results/supplementary_tables_v0.2/S6_magma_single_nucleus_benchmarks.tsv	MAGMA single-nucleus benchmarks	Frozen composite source table with 67 rows from 3 audited component(s).	scripts/07_scrna_gene_mapping/magma_scrna_projection_benchmark.R	Results: Figure 2	Figure 2C-D	Expression context; not causal mediation	PASS
S7	results/supplementary_tables_v0.2/S7_p1_candidate_evidence.tsv	P1 candidate evidence	Frozen composite source table with 6 rows from 1 audited component(s).	scripts/07_scrna_gene_mapping/p1_tal_gene_evidence_pack.R	Results: Figure 3	Figure 3A-D	Candidate interpretation; not single-gene validation	PASS
S8	results/supplementary_tables_v0.2/S8_gse73680_metadata_and_inclusion.tsv	GSE73680 metadata and inclusion	Frozen composite source table with 109 rows from 3 audited component(s).	scripts/08_plaque_context/06_curate_gse73680_metadata.R	Methods: GSE73680	Figure 4A	Bulk metadata; not lesion-resolved spatial sampling	PASS
S9	results/supplementary_tables_v0.2/S9_gse73680_feature_reconstruction.tsv	GSE73680 feature reconstruction	Frozen composite source table with 3 rows from 3 audited component(s).	scripts/08_plaque_context/05_map_gse73680_features_to_genes.R	Methods: GSE73680 reconstruction	Figure 4A	Conservative direct-symbol reconstruction	PASS
S10	results/supplementary_tables_v0.2/S10_p1_gene_paired_response.tsv	P1 gene paired response	Frozen composite source table with 6 rows from 1 audited component(s).	scripts/08_plaque_context/11_run_gse73680_p1_gene_response.R	Results: Figure 4B	Figures 3D/4B	No FDR-supported P1 single-gene response	PASS
S11	results/supplementary_tables_v0.2/S11_magma_module_response_and_robustness.tsv	MAGMA module response and robustness	Frozen composite source table with 34 rows from 5 audited component(s).	scripts/08_plaque_context/14_run_gse73680_random_module_benchmark.R	Results: Figure 4C-D	Figure 4C-D; Figure 5C-D	Bulk module association; expression-matched benchmark sensitivity only	PASS
S12	results/supplementary_tables_v0.2/S12_functional_enrichment_and_curated_context_sets.tsv	Functional enrichment and curated context sets	Frozen composite source table with 789 rows from 3 audited component(s).	scripts/03_magma_fuma/20_magma_pathway_enrichment.R	Results: Figure 5A-B	Figure 5A-B	Functional interpretation; not pathway activity	PASS
S13	results/supplementary_tables_v0.2/S13_resource_audit_and_reproducibility_summary.tsv	Resource audit and reproducibility summary	Frozen composite source table with 49 rows from 4 audited component(s).	scripts/04_twas/03_make_twas_resource_manifest_v2.R	Methods/Limitations: resource audit	Figure 5D	Audited resource limitations; not negative biological evidence	PASS
