gene	magma_status	snRNA_support_status	twas_model_type	twas_proxy_status	spatial_status	bulk_status_if_available	repaired_reporting_group	allowed_interpretation
ACP1	fdr05	strong_context_support	not_fdr_supported	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
ADK	fdr05	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
ALG12	fdr05	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
AMPD3	fdr05	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
AOPEP	fdr05	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
AP1S3	top100	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
ASCC3	top100	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
BABAM2	fdr05	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
BCAS3	fdr05	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
BCR	fdr05	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
BNIP1	top100	strong_context_support	not_fdr_supported	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
CARMIL1	fdr05	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
CASR	top50	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
CDK12	top50	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
CFDP1	top100	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
CHAF1B	top50	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
CHP1	fdr05	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
CLDN10	top50	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
CLDN14	top50	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
CRAT	fdr05	strong_context_support	not_fdr_supported	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
DDR1	fdr05	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
DXO	top100	strong_context_support	not_fdr_supported	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
DZIP1	top50	strong_context_support	not_fdr_supported	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
FAM227A	fdr05	strong_context_support	not_fdr_supported	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
FBXO46	fdr05	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
FN3K	fdr05	strong_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R1	Context-mapped MAGMA-priority candidate supported by donor-level snRNA context.
