record_type	packaging_source_file	module_name	n_paired_patients	n_samples_used	model_formula	group_coefficient	standard_error	t_statistic	p_value	fdr_bh_across_modules	direction	interpretation	notes	signature_name	fdr_bh_across_signatures	adjustment_model	covariates_included	base_group_coefficient	adjusted_group_coefficient	coefficient_change_percent	base_p_value	adjusted_p_value	base_fdr	adjusted_fdr_within_model_family	attenuation_class	analysis_level	n_observations	correlation_method	correlation	fdr_bh	base_support_class	dominant_correlated_tissue_state_signatures	adjustment_result_summary	final_bulk_interpretation	allowed_claim	not_allowed_claim
canonical_module_base_model	results/tables/phase5_step2_bulk_paired_model_results.tsv	MAGMA_top50	26	52	module_score ~ group_binary + factor(patient_id)	0.170412678077428	0.0941584308594188	1.80985044591343	0.0823578410385841	0.0823578410385841	no_clear_shift	no_clear_shift	Patient fixed-effect paired base model; no composition or injury/remodeling adjustment.																							
canonical_module_base_model	results/tables/phase5_step2_bulk_paired_model_results.tsv	MAGMA_top100	26	52	module_score ~ group_binary + factor(patient_id)	0.169086129009649	0.0835523132766101	2.0237157102984	0.0538124781711585	0.071294375225806	no_clear_shift	no_clear_shift	Patient fixed-effect paired base model; no composition or injury/remodeling adjustment.																							
canonical_module_base_model	results/tables/phase5_step2_bulk_paired_model_results.tsv	MAGMA_Bonferroni	26	52	module_score ~ group_binary + factor(patient_id)	0.17423017748957	0.0873271196250735	1.99514398548357	0.0570355001806448	0.071294375225806	no_clear_shift	no_clear_shift	Patient fixed-effect paired base model; no composition or injury/remodeling adjustment.																							
canonical_module_base_model	results/tables/phase5_step2_bulk_paired_model_results.tsv	MAGMA_FDR05	26	52	module_score ~ group_binary + factor(patient_id)	0.172126461072211	0.0787545742105936	2.18560588762674	0.0384243004957732	0.071294375225806	positive_disease_context_shift	positive_disease_context_shift	Patient fixed-effect paired base model; no composition or injury/remodeling adjustment.																							
canonical_module_base_model	results/tables/phase5_step2_bulk_paired_model_results.tsv	MAGMA_suggestive_p1e4	26	52	module_score ~ group_binary + factor(patient_id)	0.173421603305168	0.0839032315019713	2.0669240051987	0.0492445152631739	0.071294375225806	positive_disease_context_shift	positive_disease_context_shift	Patient fixed-effect paired base model; no composition or injury/remodeling adjustment.																							
tissue_state_paired_model	results/tables/phase5_step3_tissue_state_paired_model_results.tsv		26	52	signature_score ~ group_binary + factor(patient_id)	0.375389130949201	0.124217668897277	3.02202685239273	0.0057265736041287		positive_disease_context_shift	positive_disease_context_shift	Patient fixed-effect paired proxy-score model; not a cell-fraction model.	injury_KIM1_LCN2_like	0.057265736041287																					
tissue_state_paired_model	results/tables/phase5_step3_tissue_state_paired_model_results.tsv		26	52	signature_score ~ group_binary + factor(patient_id)	0.154358690265896	0.121816270009552	1.26714346329757	0.216781326326323		no_clear_shift	no_clear_shift	Patient fixed-effect paired proxy-score model; not a cell-fraction model.	inflammatory_stress	0.361302210543872																					
tissue_state_paired_model	results/tables/phase5_step3_tissue_state_paired_model_results.tsv		26	52	signature_score ~ group_binary + factor(patient_id)	0.347715474587683	0.152864228422978	2.27466869243959	0.0317657576962656		positive_disease_context_shift	positive_disease_context_shift	Patient fixed-effect paired proxy-score model; not a cell-fraction model.	epithelial_transport	0.105885858987552																					
tissue_state_paired_model	results/tables/phase5_step3_tissue_state_paired_model_results.tsv		26	52	signature_score ~ group_binary + factor(patient_id)	-0.0585571722349354	0.178805773813146	-0.327490387956534	0.746023653558647		no_clear_shift	no_clear_shift	Patient fixed-effect paired proxy-score model; not a cell-fraction model.	Loop_TAL_transport_proxy	0.746023653558647																					
tissue_state_paired_model	results/tables/phase5_step3_tissue_state_paired_model_results.tsv		26	52	signature_score ~ group_binary + factor(patient_id)	0.150607517342564	0.136561043632528	1.1028585703243	0.280592313285938		no_clear_shift	no_clear_shift	Patient fixed-effect paired proxy-score model; not a cell-fraction model.	collecting_duct_proxy	0.400846161837054																					
