supplementary_table	final_proposed_filename	title	source_file	source_exists	row_count_if_readable	column_count_if_readable	ready_for_packaging	needs_human_review	main_text_reference	notes
Supplementary Table 1	Supplementary_Table_01_GWAS_quality_control_and_locus_reconstruction.tsv	GWAS quality control and locus reconstruction	results/tables/revision/stage2_genetic/gwas_qc_manifest.tsv;results/tables/revision/stage2_genetic/gwas_loci_reconciliation_input_audit.tsv	yes	gwas_qc_manifest.tsv:26;gwas_loci_reconciliation_input_audit.tsv:5	gwas_qc_manifest.tsv:5;gwas_loci_reconciliation_input_audit.tsv:6	ready_for_packaging_pending_final_format	yes	Results: Auditable GWAS/MAGMA prioritization	The published 59-locus table remains unavailable; retain the documented 57-locus reconstruction boundary. Multiple source files remain separate until the final table structure is approved.
Supplementary Table 2	Supplementary_Table_02_MAGMA_output_and_reproducibility_audit.tsv	MAGMA output and reproducibility audit	results/tables/revision/stage2_genetic/magma_output_audit.tsv;results/tables/revision/stage2_genetic/magma_reproducibility_file_evidence.tsv	yes	magma_output_audit.tsv:1;magma_reproducibility_file_evidence.tsv:17	magma_output_audit.tsv:22;magma_reproducibility_file_evidence.tsv:9	ready_for_packaging_pending_final_format	yes	Results: Auditable GWAS/MAGMA prioritization	Preserve executable, version, gene-location and 1000G EUR LD provenance. Multiple source files remain separate until the final table structure is approved.
Supplementary Table 3	Supplementary_Table_03_TWAS_output_and_one_SNP_model_audit.tsv	TWAS output and one-SNP model audit	results/tables/revision/stage2_genetic/twas_output_audit.tsv;results/tables/revision/stage2_genetic/twas_one_snp_model_audit.tsv	yes	twas_output_audit.tsv:1;twas_one_snp_model_audit.tsv:5989	twas_output_audit.tsv:13;twas_one_snp_model_audit.tsv:11	ready_for_packaging_pending_final_format	yes	Results: Two-axis evidence modeling	TWAS is a GTEx Kidney_Cortex proxy; one-SNP model status must remain explicit. Multiple source files remain separate until the final table structure is approved.
Supplementary Table 4	Supplementary_Table_04_SMR_and_colocalization_feasibility_audit.tsv	SMR and colocalization feasibility audit	results/tables/revision/stage2_genetic/smr_coloc_feasibility.tsv	yes	smr_coloc_feasibility.tsv:66	smr_coloc_feasibility.tsv:18	ready_for_packaging_pending_final_format	yes	Results: Two-axis evidence modeling	Resource feasibility only; no claim-grade SMR/colocalization support. Multiple source files remain separate until the final table structure is approved.
Supplementary Table 5	Supplementary_Table_05_Two_axis_candidate_evidence_model.tsv	Two-axis candidate evidence model	results/tables/revision/stage3R_gene_tiering/candidate_gene_evidence_model_v0.2.tsv;results/tables/revision/stage3R_gene_tiering/candidate_gene_decision_log_v0.2.tsv	yes	candidate_gene_evidence_model_v0.2.tsv:130;candidate_gene_decision_log_v0.2.tsv:130	candidate_gene_evidence_model_v0.2.tsv:26;candidate_gene_decision_log_v0.2.tsv:8	ready_for_packaging_pending_final_format	yes	Results: Two-axis evidence modeling	Reporting groups are evidence roles, not causal tiers. Multiple source files remain separate until the final table structure is approved.
Supplementary Table 6	Supplementary_Table_06_Curated_biological_exemplar_panel.tsv	Curated biological exemplar panel	results/tables/revision/stage3R_gene_tiering/curated_exemplar_panel_v0.2.tsv	yes	curated_exemplar_panel_v0.2.tsv:6	curated_exemplar_panel_v0.2.tsv:16	ready_for_packaging_pending_final_format	yes	Results: Two-axis evidence modeling	Exemplar status is an interpretive flag and does not alter reporting-group assignment. Multiple source files remain separate until the final table structure is approved.
Supplementary Table 7	Supplementary_Table_07_Single_nucleus_donor_level_module_scores.tsv	Single-nucleus donor-level module scores	results/tables/revision/stage4B1_scrna_donor_level/scrna_donor_compartment_module_scores.tsv	yes	scrna_donor_compartment_module_scores.tsv:276	scrna_donor_compartment_module_scores.tsv:14	ready_for_packaging_pending_final_format	yes	Results: Donor-level single-nucleus context	Donors, not nuclei, define independent biological replication. Multiple source files remain separate until the final table structure is approved.
Supplementary Table 8	Supplementary_Table_08_Single_nucleus_matched_random_benchmark.tsv	Single-nucleus matched-random benchmark	results/tables/revision/stage4B2_scrna_robustness/scrna_random_set_benchmark_summary.tsv;results/tables/revision/stage4B2_scrna_robustness/scrna_random_set_benchmark_donor_detail.tsv	yes	scrna_random_set_benchmark_summary.tsv:10;scrna_random_set_benchmark_donor_detail.tsv:40	scrna_random_set_benchmark_summary.tsv:16;scrna_random_set_benchmark_donor_detail.tsv:10	ready_for_packaging_pending_final_format	yes	Results: Donor-level single-nucleus context	Retain the partial matched-random support classification. Multiple source files remain separate until the final table structure is approved.
Supplementary Table 9	Supplementary_Table_09_Single_nucleus_known_driver_removal_sensitivity.tsv	Single-nucleus known-driver removal sensitivity	results/tables/revision/stage4B2_scrna_robustness/scrna_known_driver_removal_sensitivity.tsv;results/tables/revision/stage4B2_scrna_robustness/scrna_gene_contribution_to_loop_tal_signal.tsv	yes	scrna_known_driver_removal_sensitivity.tsv:48;scrna_gene_contribution_to_loop_tal_signal.tsv:291	scrna_known_driver_removal_sensitivity.tsv:15;scrna_gene_contribution_to_loop_tal_signal.tsv:11	ready_for_packaging_pending_final_format	yes	Results: Donor-level single-nucleus context	Sensitivity analysis does not upgrade the evidence classification. Multiple source files remain separate until the final table structure is approved.
Supplementary Table 10	Supplementary_Table_10_GSE73680_paired_module_response.tsv	GSE73680 paired module response	results/tables/revision/stage5B1_gse73680_module_response/gse73680_paired_module_delta.tsv;results/tables/revision/stage5B1_gse73680_module_response/gse73680_paired_module_delta_summary.tsv;results/tables/revision/stage5B1_gse73680_module_response/gse73680_module_response_model.tsv	yes	gse73680_paired_module_delta.tsv:572;gse73680_paired_module_delta_summary.tsv:22;gse73680_module_response_model.tsv:22	gse73680_paired_module_delta.tsv:12;gse73680_paired_module_delta_summary.tsv:15;gse73680_module_response_model.tsv:14	ready_for_packaging_pending_final_format	yes	Results: Paired bulk papillary context	Twenty-six paired patients; preserve patient pairing and unadjusted model provenance. Multiple source files remain separate until the final table structure is approved.
