gene	existing_group	repaired_reporting_group	reason_for_group_assignment	magma_summary	snRNA_summary	twas_summary	spatial_summary	bulk_summary_if_available	downgrade_reason	upgrade_reason	human_review_required	notes
CHAF1B	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	top50; rank=5	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.998	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
HIBADH	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	top50; rank=6	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.998	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
PDILT	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	top50; rank=7	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.998	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
TFAP2B	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	top50; rank=8	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.998	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
UGT8	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	top50; rank=9	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.998	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
CASR	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	top50; rank=10	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.998	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
RNLS	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	top50; rank=11	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.998	no_positive_twas_evidence; model=not_fdr_supported; FDR=0.481	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
CLDN14	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	top50; rank=15	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.998	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
CLDN10	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	top50; rank=19	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.998	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
UMOD	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	top50; rank=21	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.998	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
