source_component	source_path	method	resource_type	tissue	tissue_alias	expected_file	local_path	source_page	genome_build	version	status	file_size	md5	notes	download_attempted	download_method	download_status	blocking_level	action_decision	resource_name	source	data_type	format	required_for	dataset	geo_accession	sample_id	platform	raw_matrix_available	histology_image_available	spatial_coordinates_available	metadata_available	resource	note
twas	results/tables/twas_resource_manifest_v2.tsv	FUSION	software	all	all	FUSION.assoc_test.R	external/twas/fusion/software/FUSION.assoc_test.R	https://gusevlab.org/projects/fusion/	tool	pending	missing			FUSION association-test script.	FALSE		not_attempted	critical	retry															
twas	results/tables/twas_resource_manifest_v2.tsv	FUSION	ld_reference	all	1000G.EUR	1000G.EUR.{1..22}.{bed,bim,fam}	external/twas/fusion/ref_ld/1000G.EUR.	https://gusevlab.org/projects/fusion/	expected_GRCh37_hg19	pending	missing			FUSION LD reference prefix; require chr-level PLINK files.	FALSE		not_attempted	critical	retry															
twas	results/tables/twas_resource_manifest_v2.tsv	S-PrediXcan	software	all	all	SPrediXcan.py	external/twas/predixcan/software/MetaXcan/software/SPrediXcan.py	https://github.com/hakyimlab/MetaXcan	tool	pending	downloaded_unchecked	3711	945e4ecdbb0164362394b8b4b5cfe105	MetaXcan S-PrediXcan script.	TRUE	curl_or_git_clone	downloaded_unchecked	critical	run_smoke_test															
twas	results/tables/twas_resource_manifest_v2.tsv	S-MultiXcan	software	all	all	SMulTiXcan.py	external/twas/predixcan/software/MetaXcan/software/SMulTiXcan.py	https://github.com/hakyimlab/MetaXcan	tool	pending	downloaded_unchecked	5383	ffab7facccc4290ef58c4b73ede89004	MetaXcan S-MultiXcan script.	TRUE	curl_or_git_clone	downloaded_unchecked	optional	run_smoke_test															
twas	results/tables/twas_resource_manifest_v2.tsv	FUSION	weights_pos	kidney_cortex	GTExv8.Kidney_Cortex	GTExv8.Kidney_Cortex.pos	external/twas/fusion/weights/kidney_cortex/GTExv8.Kidney_Cortex.pos	https://gusevlab.org/projects/fusion/	expected_GRCh37_hg19	GTEx_v8_expected	missing			FUSION weights position file.	FALSE		not_attempted	critical	retry															
twas	results/tables/twas_resource_manifest_v2.tsv	FUSION	weights_rdat	kidney_cortex	GTExv8.Kidney_Cortex	GTExv8.Kidney_Cortex/*.wgt.RDat	external/twas/fusion/weights/kidney_cortex	https://gusevlab.org/projects/fusion/	expected_GRCh37_hg19	GTEx_v8_expected	missing			At least one RDat file is required; full tissue run requires all referenced weights.	FALSE		not_attempted	critical	retry															
twas	results/tables/twas_resource_manifest_v2.tsv	S-PrediXcan	predictdb_model	kidney_cortex	Kidney_Cortex	Kidney_Cortex*.db	external/twas/predixcan/models/	https://predictdb.org/post/2019/12/11/gtex-v8-model-release/	expected_GRCh37_hg19	GTEx_v8_expected	missing			PredictDB model database.	FALSE		not_attempted	critical	retry															
twas	results/tables/twas_resource_manifest_v2.tsv	S-PrediXcan	covariance	kidney_cortex	Kidney_Cortex	Kidney_Cortex*.txt.gz	external/twas/predixcan/covariance/	https://predictdb.org/post/2019/12/11/gtex-v8-model-release/	expected_GRCh37_hg19	GTEx_v8_expected	missing			Summary-based S-PrediXcan covariance file.	FALSE		not_attempted	critical	retry															
twas	results/tables/twas_resource_manifest_v2.tsv	FUSION	weights_pos	whole_blood	GTExv8.Whole_Blood	GTExv8.Whole_Blood.pos	external/twas/fusion/weights/whole_blood/GTExv8.Whole_Blood.pos	https://gusevlab.org/projects/fusion/	expected_GRCh37_hg19	GTEx_v8_expected	missing			FUSION weights position file.	FALSE		not_attempted	important	manual_download															
twas	results/tables/twas_resource_manifest_v2.tsv	FUSION	weights_rdat	whole_blood	GTExv8.Whole_Blood	GTExv8.Whole_Blood/*.wgt.RDat	external/twas/fusion/weights/whole_blood	https://gusevlab.org/projects/fusion/	expected_GRCh37_hg19	GTEx_v8_expected	missing			At least one RDat file is required; full tissue run requires all referenced weights.	FALSE		not_attempted	important	manual_download															
twas	results/tables/twas_resource_manifest_v2.tsv	S-PrediXcan	predictdb_model	whole_blood	Whole_Blood	Whole_Blood*.db	external/twas/predixcan/models/	https://predictdb.org/post/2019/12/11/gtex-v8-model-release/	expected_GRCh37_hg19	GTEx_v8_expected	missing			PredictDB model database.	FALSE		not_attempted	important	manual_download															
twas	results/tables/twas_resource_manifest_v2.tsv	S-PrediXcan	covariance	whole_blood	Whole_Blood	Whole_Blood*.txt.gz	external/twas/predixcan/covariance/	https://predictdb.org/post/2019/12/11/gtex-v8-model-release/	expected_GRCh37_hg19	GTEx_v8_expected	missing			Summary-based S-PrediXcan covariance file.	FALSE		not_attempted	important	manual_download															
