figure	current_version	visual_issue	severity	recommended_action	requires_data_change	requires_claim_change	priority	notes
Figure 1	v0.2	Confirm shortened title retention after target selection	low	Retain current title unless the selected journal requests title removal from artwork	no	no	before_final_export	Scientific meaning is unchanged.
Figure 1	v0.2	Panel-label case is not yet journal-specific	medium	Apply one case convention to Figures 1-5 after journal selection	no	no	high	Current draft uses uppercase A-F.
Figure 1	v0.2	Final-width and font-embedding proof remains	medium	Proof at 180-183 mm and verify Helvetica embedding in final PDF	no	no	high	Current PDF/SVG/600-dpi PNG exports pass draft QC.
Figure 1	v0.2	Grayscale and CVD proof remains	medium	Run grayscale and common CVD simulation with the final five-figure palette	no	no	high	Labels and border styles already provide redundant encoding.
Figure 2	v0.2	Title/subtitle and repeated legends are dense	high	Shorten heading block and consolidate repeated legends	no	no	high	Preserve all source-data-locked values and seven panel mappings.
Figure 2	v0.2	Panels D-G contain dense annotations	high	Reduce prose and use one reader-facing result label per panel	no	no	high	Do not hide partial matched-random or robustness boundaries.
Figure 3	v0.2	Panel E is text-dense	medium	Compress Panel E while preserving group definitions	no	no	high	Do not collapse the two evidence axes.
Figure 3	v0.2	Internal reporting-group labels require reader-facing translation	medium	Pair exact group codes with non-causal reader-facing labels	no	no	high	Retain the exact mapping in the legend or Supplementary Table 5.
Figure 4	v0.1	Title/subtitle occupies excess space	medium	Shorten the heading block	no	no	medium	Current panel architecture is otherwise close to target density.
Figure 4	v0.1	Panel G claim strip is large	medium	Compact the claim strip without deleting attenuation boundaries	no	no	high	Preserve 26-patient pairing and adjusted/unadjusted results.
Figure 5	v0.1	Title/subtitle and repeated annotations are dense	medium	Shorten heading and remove repeated prose	no	no	medium	Preserve null and mixed findings.
Figure 5	v0.1	Panel B overlay legend needs clearer final-width separation	high	Rebuild the overlay legend with direct, non-overlapping labels	no	no	high	Do not imply lesion localization.
Figure 5	v0.1	Panel F claim strip is dense	medium	Compact while retaining no-ROI and TWAS-proxy boundaries	no	no	high	Five sections and 7,747 spots remain locked.
Figures 1-5	mixed drafts	Font family and final text sizes are not yet fully unified	high	Use Helvetica/Arial with a common final-size hierarchy	no	no	high	Final proof at target width is required.
Figures 1-5	mixed drafts	Panel-label style is not yet unified	high	Use one position, size, weight and case convention	no	no	high	Follow selected-journal instructions.
Figures 1-5	mixed drafts	Line weights vary	medium	Normalize axes, borders and separators to the Stage 7D specification	no	no	medium	Line weight must not encode evidence strength.
Figures 1-5	mixed drafts	Palette roles require final synchronization	high	Apply the locked navy/teal/blue-grey/gold/coral semantic palette	no	no	high	Keep labels and shapes redundant with color.
Figures 1-5	mixed drafts	Grayscale/CVD review is outstanding	high	Run a combined grayscale and common CVD proof after harmonization	no	no	high	Record any repaired contrast issues in the final action log.
