module_name	n_donors_with_loop_tal	loop_tal_nuclei_distribution	n_donors_loop_tal_top_rank	n_donors_loop_tal_top_two	median_loop_tal_rank	range_loop_tal_rank	median_loop_tal_percentile_rank	support_summary	interpretation	notes	module_status
Curated_exemplar_panel	4	GSM7290910:29;GSM7290912:244;GSM7290913:263;GSM7290914:4	4	4	1	1-1	100	strong_descriptive_support	Loop/TAL is top or top-two in most donors and not solely driven by the largest Loop/TAL donor.	support labels are descriptive and do not imply causal cell-type mediation	primary_ready
MAGMA_FDR	4	GSM7290910:29;GSM7290912:244;GSM7290913:263;GSM7290914:4	4	4	1	1-1	100	strong_descriptive_support	Loop/TAL is top or top-two in most donors and not solely driven by the largest Loop/TAL donor.	support labels are descriptive and do not imply causal cell-type mediation	primary_ready
MAGMA_suggestive	4	GSM7290910:29;GSM7290912:244;GSM7290913:263;GSM7290914:4	4	4	1	1-1	100	strong_descriptive_support	Loop/TAL is top or top-two in most donors and not solely driven by the largest Loop/TAL donor.	support labels are descriptive and do not imply causal cell-type mediation	primary_ready
MAGMA_top100	4	GSM7290910:29;GSM7290912:244;GSM7290913:263;GSM7290914:4	4	4	1	1-1	100	strong_descriptive_support	Loop/TAL is top or top-two in most donors and not solely driven by the largest Loop/TAL donor.	support labels are descriptive and do not imply causal cell-type mediation	primary_ready
MAGMA_top50	4	GSM7290910:29;GSM7290912:244;GSM7290913:263;GSM7290914:4	4	4	1	1-1	100	strong_descriptive_support	Loop/TAL is top or top-two in most donors and not solely driven by the largest Loop/TAL donor.	support labels are descriptive and do not imply causal cell-type mediation	primary_ready
R1_MAGMA_Bonferroni_only	4	GSM7290910:29;GSM7290912:244;GSM7290913:263;GSM7290914:4	4	4	1	1-1	100	strong_descriptive_support	Loop/TAL is top or top-two in most donors and not solely driven by the largest Loop/TAL donor.	support labels are descriptive and do not imply causal cell-type mediation	primary_ready
R1_R2_R3_all_MAGMA_Bonferroni	4	GSM7290910:29;GSM7290912:244;GSM7290913:263;GSM7290914:4	4	4	1	1-1	100	strong_descriptive_support	Loop/TAL is top or top-two in most donors and not solely driven by the largest Loop/TAL donor.	support labels are descriptive and do not imply causal cell-type mediation	primary_ready
R2_MAGMA_Bonferroni_plus_multi_snp_TWAS_proxy	4	GSM7290910:29;GSM7290912:244;GSM7290913:263;GSM7290914:4	1	2	2.5	1-4	70	insufficient_data	Module is too small or not analyzable for strong donor-level conclusions.	support labels are descriptive and do not imply causal cell-type mediation	small_module_interpret_cautiously
R2_R3_MAGMA_plus_TWAS_proxy	4	GSM7290910:29;GSM7290912:244;GSM7290913:263;GSM7290914:4	0	0	4	3-5	32.5	weak_or_inconsistent_support	Loop/TAL support is inconsistent across donors.	support labels are descriptive and do not imply causal cell-type mediation	primary_ready
R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	4	GSM7290910:29;GSM7290912:244;GSM7290913:263;GSM7290914:4	0	0	4.5	4-5	22.5	weak_or_inconsistent_support	Loop/TAL support is inconsistent across donors.	support labels are descriptive and do not imply causal cell-type mediation	primary_ready
R4_MAGMA_lower_priority	4	GSM7290910:29;GSM7290912:244;GSM7290913:263;GSM7290914:4	1	3	2	1-3	80	strong_descriptive_support	Loop/TAL is top or top-two in most donors and not solely driven by the largest Loop/TAL donor.	support labels are descriptive and do not imply causal cell-type mediation	primary_ready
R5_TWAS_proxy_only	4	GSM7290910:29;GSM7290912:244;GSM7290913:263;GSM7290914:4	0	1	4.5	2-6	22.5	insufficient_data	Module is too small or not analyzable for strong donor-level conclusions.	support labels are descriptive and do not imply causal cell-type mediation	small_module_interpret_cautiously
