gene	input_evidence_summary	classification_decision	why_not_higher	why_not_lower	allowed_sentence_fragment	forbidden_sentence_fragment	needs_followup_in_stage4_or_stage5
ACP4	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
ADD3	G2_MAGMA_FDR_nonBonferroni; T2_one_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R4_MAGMA_lower_priority with claim_3_contextual_or_supplementary	no multi-SNP Kidney_Cortex proxy TWAS support; not MAGMA Bonferroni prioritized; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	contextual or supplementary MAGMA-supported candidate	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
AIF1	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
ALPL	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
ANKRD6	G2_MAGMA_FDR_nonBonferroni; T2_one_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R4_MAGMA_lower_priority with claim_3_contextual_or_supplementary	no multi-SNP Kidney_Cortex proxy TWAS support; not MAGMA Bonferroni prioritized; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	contextual or supplementary MAGMA-supported candidate	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
AP1S3	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
AQP1	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
ARL15	G3_MAGMA_suggestive_or_module; T2_one_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R4_MAGMA_lower_priority with claim_3_contextual_or_supplementary	no multi-SNP Kidney_Cortex proxy TWAS support; not MAGMA Bonferroni prioritized; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	contextual or supplementary MAGMA-supported candidate	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
ARPC2	G2_MAGMA_FDR_nonBonferroni; T1_multi_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R4_MAGMA_lower_priority with claim_3_contextual_or_supplementary	not MAGMA Bonferroni prioritized; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	contextual or supplementary MAGMA-supported candidate	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
ASCC3	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
