file_path	file_name	file_type	size_bytes	last_modified	likely_analysis	contains_required_columns	needs_manual_check	notes
KSD_post_GWAS_brief_report.pptx	KSD_post_GWAS_brief_report.pptx	pptx	3019285	2026-06-23T21:42:51	GWAS/locus	no	yes	GWAS QC, lead SNP, locus reconstruction, or locus slice
config/gwas_column_aliases.tsv	gwas_column_aliases.tsv	tsv	623	2026-06-16T22:39:08	GWAS/locus	no	yes	GWAS QC, lead SNP, locus reconstruction, or locus slice
config/gwas_sources.tsv	gwas_sources.tsv	tsv	1153	2026-06-16T22:16:15	GWAS/locus	no	yes	GWAS QC, lead SNP, locus reconstruction, or locus slice
data/processed/gwas/2025_trans_ancestry/meta_sumstats.cleaned.tsv.gz	meta_sumstats.cleaned.tsv.gz	gz	84946222	2026-06-16T22:41:29	GWAS/locus	yes	no	GWAS QC, lead SNP, locus reconstruction, or locus slice
data/processed/magma/2025_trans_ancestry/ksd_2025.pval	ksd_2025.pval	pval	120617827	2026-06-16T23:45:03	MAGMA	no	yes	MAGMA input, output, gene set, log, or script
data/processed/magma/2025_trans_ancestry/ksd_2025.snploc	ksd_2025.snploc	snploc	108803478	2026-06-16T23:45:03	MAGMA	no	yes	MAGMA input, output, gene set, log, or script
data/processed/magma_input/ksd_2025.dedup.pval	ksd_2025.dedup.pval	pval	120617827	2026-06-17T09:21:44	MAGMA	no	yes	MAGMA input, output, gene set, log, or script
data/processed/magma_input/ksd_2025.dedup.snploc	ksd_2025.dedup.snploc	snploc	108803478	2026-06-17T09:21:38	MAGMA	no	yes	MAGMA input, output, gene set, log, or script
data/processed/magma_input/ksd_2025.pval	ksd_2025.pval	pval	120617827	2026-06-17T09:21:00	MAGMA	no	yes	MAGMA input, output, gene set, log, or script
data/processed/magma_input/ksd_2025.snploc	ksd_2025.snploc	snploc	108803478	2026-06-17T09:21:00	MAGMA	no	yes	MAGMA input, output, gene set, log, or script
data/processed/twas_input/ksd_2025_for_fusion.tsv	ksd_2025_for_fusion.tsv	tsv	225107842	2026-06-17T15:32:12	TWAS/S-PrediXcan	yes	no	TWAS input, model, output, or resource audit
data/processed/twas_input/ksd_2025_for_twas.Kidney_Cortex_varID.tsv.gz	ksd_2025_for_twas.Kidney_Cortex_varID.tsv.gz	gz	221750	2026-06-23T22:30:19	TWAS/S-PrediXcan	yes	no	TWAS input, model, output, or resource audit
data/processed/twas_input/ksd_2025_for_twas.tsv.gz	ksd_2025_for_twas.tsv.gz	gz	114887104	2026-06-17T11:56:40	TWAS/S-PrediXcan	yes	no	TWAS input, model, output, or resource audit
